ID;value;MSE
753;0;2326.940368669473
754;0;4811.332596632224
755;0;2348.6206381098173
756;1;3090.732713265176
757;0;6082.099521622656
758;0;6505.1617503143625
759;0;23117.702226960435
760;0;8166.582932407559
761;0;3991.160423158931
762;0;3918.907800284293
763;0;1744.588555847138
764;0;1963.9508697355711
765;0;1954.6023914311227
766;0;2138.8753170958394
767;0;1988.7570594828057
768;0;2266.3532497767574
769;0;2481.2420612140763
770;0;1918.0917149599986
771;0;1814.8227835183059
772;0;2004.0490450677019
773;0;2074.433421263645
774;0;2299.8923359393507
775;0;2085.0944576567713
776;0;1873.41962896142
777;0;1965.84629143659
778;0;2154.9506319136917
779;0;2007.112852860241
780;0;2035.9291204235235
781;0;2036.880186066007
782;0;1892.0287071966177
783;0;1765.3466841616096
784;0;2169.3944134638164
785;0;1858.638315747271
786;0;2468.8179195597104
787;0;2542.0741047509705
788;0;1911.55324567638
789;0;1603.370022142037
790;0;2039.01410119731
791;0;1991.0125790461611
792;0;2147.3119990705814
793;0;1994.4986113389098
794;0;2121.0072845479563
795;0;1724.8718253968254
796;0;1670.3206467661691
797;0;1794.6406092249376
798;0;2025.2646456362875
799;0;2093.2612400451953
800;0;1983.9256036666484
801;0;2261.7118792484466
802;0;1872.6439223297432
803;0;2143.565654329087
804;0;2673.0897053195563
805;0;2035.1279463488418
806;0;1973.3184056822117
807;0;1911.8524087438266
808;0;2155.6477320357917
809;0;2242.758271372077
810;0;2103.5216536365792
811;0;1947.2819150584075
812;0;2020.3750738067902
813;0;2319.713969529641
814;0;2051.2322508337434
815;0;2017.5482322818143
816;0;1962.4946781659469
817;0;2370.524286078764
818;0;1761.4343338253786
819;0;2236.932010278279
820;0;2599.5323401308474
821;0;2030.245393909573
822;0;1721.1865056585207
823;0;1940.185849598163
824;0;2050.916287609571
825;0;2191.6455410675558
826;0;1956.795380241649
827;0;2046.1701679332277
828;0;2080.204103566417
829;0;2252.453724964919
830;0;2126.2840395094127
831;0;2017.145085925683
832;0;1915.1625011389938
833;0;2292.0928616988317
834;0;2429.070141052977
835;0;2703.182875913473
836;0;2249.2564977311245
837;0;2136.792098573069
838;0;2208.936579465311
839;0;2456.934111493813
840;0;2641.9394151039673
841;0;2392.6647085087384
842;0;2130.6275595465895
843;0;2278.1850368122755
844;0;2581.3766670311447
845;0;2349.181246696918
846;0;2356.134578025623
847;0;2289.2036306562427
848;0;2242.7429191041133
849;0;2492.2098090135405
850;0;2036.882983434476
851;0;1722.3586814098007
852;0;1920.890843857635
853;0;2090.986178083939
854;0;2282.2513772711536
855;0;2068.343289049259
856;0;2079.2979712244637
857;0;2167.527704426585
858;0;2400.75355730505
859;0;2212.061496546571
860;0;2053.152583237658
861;0;1918.2713743553295
862;0;2584.3277467971498
863;0;2116.948577624697
864;0;2243.8495721939753
865;0;2091.88635986733
866;0;2271.4530698157564
867;0;2512.690267982432
868;0;2161.4857716909955
869;0;2069.5640538151733
870;0;2408.3991056621653
871;0;2856.3499963552204
872;0;2423.5060311993147
873;0;2245.0655422521095
874;0;2005.688400032803
875;0;2511.66592039801
876;0;2266.558819911432
877;0;2523.4833893718223
878;0;2603.5287409108305
879;0;3014.5645777522645
880;0;2507.9502997831355
881;0;2549.3241735461884
882;0;2720.182879102655
883;0;3163.599214549961
884;0;2720.9531171978933
885;0;2702.994157418038
886;0;2432.710722486469
887;0;1869.1156219816667
888;0;1930.5492068048038
889;0;2103.9081324148488
890;0;2258.493453519946
891;0;1985.9422439086618
892;0;1933.4139089351777
