ID;value;SSIM
434;1;0.5182874577876742
435;1;0.5257859656587838
436;1;0.4974414448166464
437;1;0.7083400460842316
438;1;0.5880548309710855
439;0;0.6324779438731504
440;0;0.6418977974213383
441;0;0.5860545147256342
442;1;0.6426257852945787
443;1;0.6991315807524552
444;1;0.6937295832716359
445;0;0.6463161004784906
446;0;0.7014742020013107
447;0;0.6726266121461374
448;0;0.6595091833653433
449;0;0.6726555655835617
450;0;0.6333911131637093
451;1;0.6600370720765967
452;0;0.7006711166222291
453;1;0.6109918207589264
454;1;0.6727171003780013
455;0;0.6424297650721852
456;0;0.6756354149951737
457;1;0.8263304893606132
458;1;0.6617354919623499
459;1;0.6186927598106392
460;0;0.5837139269000514
461;0;0.6588646507899196
462;0;0.5576323753791805
463;1;0.6698211355719311
464;0;0.6428934728190518
465;0;0.6457022485522549
466;0;0.47251753444029915
467;1;0.6274461898191863
468;1;0.7198219514657339
469;1;0.602497596574308
470;1;0.5866273388097389
471;1;0.5752128515301614
472;1;0.5115300377949152
473;1;0.7031980968875374
474;1;0.6521201137972926
475;0;0.612877724571794
476;0;0.6879484448785722
477;0;0.6148803270986977
478;0;0.6528834411831033
479;1;0.6478539615509716
480;0;0.5135757775591273
481;1;0.6435439004492394
482;1;0.6491000339304726
483;1;0.518975112317803
484;1;0.5213484808163081
485;1;0.6767388017275394
486;0;0.6132919882894169
487;0;0.6303787218727669
488;0;0.637213078305239
489;0;0.6643457872709754
490;0;0.6893918171359885
491;0;0.6792296019504376
492;0;0.5991794004994935
493;0;0.6386218993746974
494;0;0.5908989515523803
495;0;0.5334737806228503
496;0;0.39274487074752185
497;0;0.5478579349484873
498;0;0.5378920829946315
499;0;0.34046091194247674
500;0;0.5622780833636694
501;0;0.5104266905063081
502;0;0.4945315842315448
503;0;0.5168569104854155
504;0;0.5873484171436636
505;0;0.4721544814280802
506;0;0.5656196077903356
507;0;0.5309454931498405
508;1;0.6068106734273561
509;1;0.6452948621054233
510;1;0.6065251432285027
511;1;0.6316338457817385
512;1;0.5377307940426874
513;1;0.6015471732557153
514;1;0.5452615247941389
515;1;0.5946956958490418
516;1;0.5510149745364308
517;0;0.5563480488240637
518;0;0.4915039538757944
519;0;0.5608064883322182
520;0;0.5779486357405671
521;0;0.48999251549079453
522;0;0.5201343873322385
523;0;0.610249527917389
524;0;0.7435717670505795
525;0;0.6297235525186715
